submission_date,state,conf_cases,new_case,conf_death,new_death
08/19/2022,ND,194327,250,,0
03/03/2020,GU,,0,,0
06/03/2020,SD,,95,62,0
10/17/2021,AK,,691,,16
11/05/2020,CO,116979,3699,1956,20
07/03/2022,AL,977154,877,15224,4
07/12/2021,PA,1021352,130,,1
05/10/2021,IN,,590,12978,1
02/14/2020,AS,,0,,0
02/20/2020,MS,,0,,0
12/01/2021,MA,860280,5303,19016,26
07/03/2022,AR,,165,,0
10/21/2020,MP,88,2,2,0
12/21/2021,TN,1056714,2863,14289,91
08/30/2021,MP,242,6,2,0
07/01/2021,NYC,788122,193,28333,4
08/25/2022,PA,2611376,0,,0
10/29/2020,PA,198739,2372,,44
10/31/2020,IA,,2941,,10
01/27/2022,CO,1214590,10712,9707,52
03/01/2021,SD,,43,1531,0
09/01/2021,PW,,0,,0
05/16/2022,MA,1674693,11762,19261,16
07/15/2020,GA,126003,4102,3091,37
10/05/2022,AS,,3,,0
06/23/2022,WA,,3364,,17
12/18/2021,HI,,698,,3
09/18/2022,PR,410610,312,4097,3
07/31/2020,NYC,223066,312,18652,5
10/16/2020,IN,,2283,3665,23
09/04/2022,AR,,406,,0
10/15/2020,NYC,247829,700,18958,4
12/30/2020,ND,89525,294,,10
05/06/2022,TX,,2936,,20
05/22/2020,AL,13697,364,684,12
10/31/2020,AL,164533,1609,3925,17
05/30/2020,MA,96301,789,6988,57
01/24/2022,IA,,11551,,0
08/07/2020,PR,9622,399,152,11
07/31/2022,MS,474883,0,8321,0
08/30/2022,NYC,2377743,2186,35964,23
04/07/2020,OK,,85,87,11
06/11/2021,IN,,395,13281,4
06/05/2022,IA,,0,,0
07/14/2021,IA,,187,,9
07/07/2022,WA,,3312,,24
11/21/2020,UT,173979,3395,770,14
05/15/2021,FL,,2405,,50
12/23/2021,PW,,0,,0
11/22/2020,RMI,1,0,0,0
10/07/2021,PA,1214966,5819,,92
05/18/2022,UT,938864,0,4533,0
05/12/2022,IA,,0,,0
02/27/2022,MA,1537894,0,22655,0
07/24/2020,PR,5661,251,89,10
07/24/2021,OK,372402,1026,6368,6
12/24/2021,AS,,0,,0
03/24/2021,UT,382733,562,2024,5
09/02/2022,IN,,3754,23453,29
09/24/2022,PW,,0,,0
01/30/2021,MA,495599,4108,14471,59
10/11/2021,ND,120783,951,,10
05/04/2020,ND,1225,34,,0
08/21/2020,NYC,228216,296,18728,1
07/13/2020,AL,54946,1390,1505,29
06/14/2022,MS,447996,878,8226,8
03/01/2022,PW,,42,,0
12/29/2020,FL,,13485,,145
02/08/2021,GA,775466,2704,13361,38
03/29/2022,CO,1290796,295,10509,0
03/20/2021,OH,849645,1483,18347,0
10/19/2020,AK,,202,,0
05/11/2020,NY,,720,,80
08/04/2022,NM,,921,,6
01/22/2020,ND,,0,,0
09/06/2021,NY,,2459,,18
01/07/2021,OK,284373,3902,4349,59
02/10/2021,UT,357339,1299,1711,17
12/09/2021,GU,,3,,0
08/22/2022,GU,,80,,0
08/27/2021,TN,822488,7456,10760,41
06/01/2020,RMI,0,0,0,0
04/05/2020,GU,,17,,0
10/11/2021,HI,,107,,4
07/20/2022,TX,,12341,,30
12/04/2021,WA,,1815,,0
09/29/2021,GA,1219318,4435,22354,176
06/28/2022,IN,,0,22881,0
02/18/2022,PW,,0,,0
09/25/2020,PR,23646,530,470,7
06/07/2022,PR,340298,583,3656,8
10/10/2022,MA,1887130,0,20341,0
08/06/2020,OH,92273,1166,3348,22
02/01/2022,TN,1448029,9647,17117,156
04/07/2020,WA,,311,,23
03/11/2021,GU,,9,,0
02/15/2020,NY,,0,,0
02/17/2020,AR,,0,,0
06/21/2022,WA,,1631,,15
02/14/2022,NYC,1926115,644,33911,92
12/22/2021,UT,622414,1406,3599,11
02/14/2020,PW,,0,,0
03/24/2020,PR,1,0,1,0
03/15/2020,OH,,32,,0
07/24/2022,AR,,0,,0
05/01/2021,PR,118555,462,1972,2
09/22/2022,CO,1490517,746,11678,3
01/12/2021,SD,,244,1281,0
03/08/2021,AR,,133,,24
11/24/2020,PA,305546,6106,,81
06/13/2022,CO,1372360,1553,11139,7
10/10/2020,GU,,0,,0
01/27/2021,ND,93074,145,,1
11/09/2021,IN,,1968,16414,61
07/01/2021,TN,713004,301,10126,6
08/16/2022,CO,1466173,794,11538,2
09/16/2022,MS,495815,0,8460,0
04/21/2022,AK,,0,,0
09/19/2020,KS,50038,0,,0
02/14/2020,SD,,0,,0
03/26/2022,CO,1290134,369,10499,0
10/17/2021,OK,484325,947,7322,23
03/02/2022,OK,751000,589,9499,0
11/22/2020,HI,,120,,2
04/03/2021,WV,113263,453,,5
11/19/2021,AS,,0,,0
02/15/2022,AL,918901,1965,14423,44
01/07/2022,HI,,3520,,3
10/29/2021,PA,1289048,4506,,85
04/11/2021,PA,915624,3647,,3
08/13/2021,TN,766646,4590,10444,29
10/21/2020,AK,,224,,2
03/30/2022,OH,2068276,0,37793,0
01/13/2022,NY,,28844,,88
07/07/2021,HI,,34,,0
05/18/2020,SD,,40,44,0
09/05/2020,TN,154834,1110,1785,22
07/29/2022,FL,,10785,,77
08/21/2021,SD,,110,1679,0
08/28/2022,GA,2199929,0,32868,0
03/11/2021,PW,,0,,0
